,Unnamed: 0,French,English
0,0,partie,part
1,1,chercher,search
2,3,police,police
3,4,aide,help
4,5,demande,request
5,6,genre,kind
6,7,mois,month
7,8,frère,brother
8,9,car,because
9,11,aucun,no
10,12,laisse,leash
11,13,eux,them
12,14,ville,city
13,15,chaque,each
14,16,parlé,speak
15,18,devrait,should
16,19,bébé,baby
17,20,longtemps,long time
18,22,vont,will
19,23,pendant,while
20,24,revoir,meet again
21,25,aucune,any
22,26,place,square
23,27,parle,speak
24,29,savais,knew
25,30,étaient,were
26,31,attention,Warning
27,32,voici,here is
28,33,pourrais,could
29,34,affaire,case
30,35,donner,give
31,36,type,type
32,37,leurs,their
33,38,donné,given
34,39,train,train
35,40,corps,body
36,41,endroit,place
37,42,yeux,eyes
38,43,trouve,find
39,44,premier,first
40,45,perdu,lost
41,46,main,hand
42,47,première,first
43,48,côté,side
44,49,pouvoir,power
45,50,vieux,old
46,51,sois,be
47,53,matin,morning
48,54,tellement,so much
49,55,point,point
50,56,venu,came
51,58,pardon,sorry
52,59,venez,come
53,60,devant,in front of
54,61,vers,towards
55,62,minutes,minutes
56,63,demandé,request
57,64,chambre,bedroom
58,65,belle,beautiful
59,66,droit,law
60,67,aimerais,would like to
61,68,aujourd'hui,today
62,70,cause,cause
63,71,enfin,finally
64,72,espère,hope
65,73,eau,water
66,74,parti,left
67,75,nouvelle,new
68,76,boulot,job
69,77,arrêter,Stop
70,78,dirait,would say
71,79,terre,Earth
72,80,compte,account
73,81,donne,given
74,82,loin,far
75,83,fin,end
76,84,croire,believe
77,85,chérie,sweetheart
78,86,gros,large
79,87,plutôt,rather
80,88,aura,will have
81,89,filles,girls
82,90,jouer,to play
83,91,bureau,office
